",City,Lat,Lng,Temp,Humidity,Max Temp,Cloudiness,Wind Speed,Country,Date,Hotel Name"
"0,Huangmei,30.19,116.03,75.07,85,75.07,0,4.43,CN,1598537105,Huangmei County"
"1,Jinji,23.23,110.83,77.59,64,77.59,0,1.57,CN,1598537184,Jinjizhen"
"2,Yamada,39.47,141.95,76.62,86,76.62,0,6.71,JP,1598537203,Yamada Denki"
"3,Grand Gaube,-20.01,57.66,73.0,73,73.0,0,5.99,MU,1598537213,Grand Gaube"
"4,Derzhavīnsk,51.1,66.32,72.43,42,72.43,0,7.43,KZ,1598537216,Derzhavinsk"
"5,Cap Malheureux,-19.98,57.61,73.0,73,73.0,0,5.99,MU,1598537217,Cap Malheureux"
"6,Guerrero Negro,27.98,-114.06,73.74,79,73.74,0,0.76,MX,1598537225,Guerrero Negro"
"7,Dois Vizinhos,-25.73,-53.06,72.0,50,72.0,0,4.38,BR,1598537239,Dois Vizinhos"
"8,Mingguang,32.78,117.96,73.02,92,73.02,0,3.65,CN,1598537272,Mingguang"
"9,San Vicente,-26.62,-54.13,79.27,32,79.27,0,5.79,AR,1598537309,A San Vicente"
